Section #	Sequence #s	Total Span Length	Circuit Type
1	2020  - 2030	91.16000000000001	5R234-1/0 ACSR-1PH
5	2130  - 2140	103.42	5R234-1/0 ACSR-1PH
8	2210  - 2220	104.5	5R234-1/0 ACSR-1PH
11	2350  - 2360	108.09	5R234-1/0 ACSR-1PH
14	2420  - 2430	96.86	5R234-1/0 ACSR-1PH
22	2670  - 2760	762.19	5R234-1/0 ACSR-1PH
23	2670  - 2680	142.66000000000003	5R234-1/0 ACSR-1PH
30	2730  - 2750	292.48	5R234-1/0 ACSR-1PH
33	2760  - 2790	232.51	5R234-1/0 ACSR-1PH
34	2760  - 2770	66.92	5R234-1/0 ACSR-1PH
43	2790  - 2880	194.19	5R234-1/0 ACSR-1PH
44	2790  - 2810	639.11	5R234-1/0 ACSR-1PH
47	2880  - 2890	93.31	5R234-1/0 ACSR-1PH
50	2030  - 2040	282.2	5R234-1/0 ACSR-1PH
53	2090  - 2080	305.26	5R234-1/0 ACSR-1PH
56	2110  - 2080	812.04	5R234-1/0 ACSR-1PH
59	2140  - 2150	387.38	5R234-1/0 ACSR-1PH
62	2150  - 2170	584.73	5R234-1/0 ACSR-1PH
66	2170  - 2180	36.53	5R234-1/0 ACSR-1PH
69	2180  - 2190	347.71	5R234-1/0 ACSR-1PH
72	2220  - 2230	286.78000000000003	5R234-1/0 ACSR-1PH
75	2280  - 2250	1353.64	5R234-1/0 ACSR-1PH
77	2250  - 2240	123.27	5R234-1/0 ACSR-1PH
79	2300  - 2290	277.21999999999997	5R234-1/0 ACSR-1PH
81	2290  - 2280	387.92999999999995	5R234-1/0 ACSR-1PH
86	2320  - 2310	226.44	5R234-1/0 ACSR-1PH
88	2310  - 2290	64.66	5R234-1/0 ACSR-1PH
90	2410  - 2390	364.28999999999996	5R234-1/0 ACSR-1PH
93	2390  - 2350	114.21	5R234-1/0 ACSR-1PH
96	2360  - 2380	453.66	5R234-1/0 ACSR-1PH
99	2430  - 2440	310.97	5R234-1/0 ACSR-1PH
102	2440  - 2450	296.53999999999996	5R234-1/0 ACSR-1PH
105	2530  - 2470	1285.27	5R234-1/0 ACSR-1PH
108	2490  - 2500	119.25999999999999	5R234-1/0 ACSR-1PH
110	2540  - 2630	501.53	5R234-1/0 ACSR-1PH
112	2630  - 2640	226.64000000000001	5R234-1/0 ACSR-1PH
114	2640  - 2660	151.48999999999998	5R234-1/0 ACSR-1PH
118	2600  - 2590	187.44	5R234-1/0 ACSR-1PH
120	2590  - 2580	84.33	5R234-1/0 ACSR-1PH
122	2650  - 2640	365.55	5R234-1/0 ACSR-1PH
124	2770  - 2780	202.88	5R234-1/0 ACSR-1PH
127	2810  - 2820	241.47	5R234-1/0 ACSR-1PH
129	2850  - 2840	185.48000000000002	5R234-1/0 ACSR-1PH
132	2890  - 2930	425.81	5R234-1/0 ACSR-1PH
136	2930  - 2940	64.59	5R234-1/0 ACSR-1PH
139	2940  - 2960	396.84	5R234-1/0 ACSR-1PH
144	2330  - 2340	258.03	5R234-1/0 ACSR-1PH
147	1210 (M1)  - 2670	1485.27	5R234-1/0 ACSR-3PH
157	068073/00 13/007  - 068073/00 11/007	353.63	68073-397 ACSR-3PH
