Step 7: Joint Support Tags
Sequence | Max Force
2170       | 38.89   
2170       | 4.82    
2170       | 1.49    
2170       | 5.17    
2170       | 4.36    
2170       | 1.84    
2170       | 38.37   
2170       | 4.78    
2170       | 1.51    
2170       | 20.39   
2170       | 0.06    
2170       | 0.02    
2170       | 26.64   
2170       | 0.11    
2170       | 0.04    
2170       | 15.27   
2170       | 4.53    
2170       | 2.12    
2170       | 22.27   
2170       | 4.90    
2170       | 1.79    
2170       | 40.25   
2170       | 0.05    
2170       | 0.02    
2170       | 9.56    
2170       | 5.91    
2170       | 2.54    
2180       | 28.53   
2180       | 6.20    
2180       | 2.00    
2180       | 31.60   
2180       | 6.21    
2180       | 2.01    
2180       | 27.90   
2180       | 6.81    
2180       | 2.24    
2180       | 27.92   
2180       | 6.81    
2180       | 2.25    
2180       | 33.54   
2180       | 0.06    
2180       | 0.03    
2180       | 33.95   
2180       | 0.06    
2180       | 0.03    
2180       | 11.02   
2180       | 3.75    
2180       | 1.24    
2180       | 12.87   
2180       | 3.75    
2180       | 1.25    
2180       | 30.58   
2180       | 3.37    
2180       | 1.19    
2180       | 32.47   
2180       | 3.39    
2180       | 1.20    
2180       | 6.23    
2180       | 3.21    
2180       | 1.06    
2180       | 7.57    
2180       | 3.21    
2180       | 1.06    
2180       | 2.34    
2180       | 5.96    
2180       | 2.00    
2180       | 12.52   
2180       | 2.46    
2180       | 0.85    
2180       | 13.42   
2180       | 2.47    
2180       | 0.86    
2180       | 19.89   
2180       | 4.88    
2180       | 1.59    
2180       | 22.34   
2180       | 4.89    
2180       | 1.60    
2180       | 19.71   
2180       | 4.88    
2180       | 1.59    
2180       | 22.11   
2180       | 4.88    
2180       | 1.60    
2180       | 19.58   
2180       | 5.36    
2180       | 1.78    
2180       | 19.59   
2180       | 5.36    
2180       | 1.78    
2180       | 26.62   
2180       | 0.05    
2180       | 0.03    
2180       | 26.93   
2180       | 0.05    
2180       | 0.03    
2180       | 1.15    
2180       | 6.89    
2180       | 2.35    
2180       | 45.60   
2180       | 0.03    
2180       | 0.01    
2190       | 28.79   
2190       | 5.97    
2190       | 2.57    
2190       | 28.77   
2190       | 5.97    
2190       | 2.57    
2190       | 11.44   
2190       | 0.15    
2190       | 0.06    
2190       | 11.44   
2190       | 0.15    
2190       | 0.06    
2190       | 28.79   
2190       | 5.97    
2190       | 2.57    
2190       | 28.77   
2190       | 5.97    
2190       | 2.57    
2190       | 11.64   
2190       | 3.61    
2190       | 1.57    
2190       | 11.63   
2190       | 3.61    
2190       | 1.57    
2190       | 30.47   
2190       | 3.29    
2190       | 1.47    
2190       | 30.46   
2190       | 3.29    
2190       | 1.47    
2190       | 6.88    
2190       | 3.05    
2190       | 1.32    
2190       | 6.87    
2190       | 3.05    
2190       | 1.32    
2190       | 7.15    
2190       | 6.01    
2190       | 2.66    
2190       | 12.60   
2190       | 2.33    
2190       | 1.02    
2190       | 12.59   
2190       | 2.33    
2190       | 1.02    
2190       | 20.32   
2190       | 4.72    
2190       | 2.02    
2190       | 20.30   
2190       | 4.72    
2190       | 2.02    
2190       | 20.08   
2190       | 4.69    
2190       | 2.03    
2190       | 20.07   
2190       | 4.69    
2190       | 2.03    
2190       | 8.65    
2190       | 0.13    
2190       | 0.06    
2190       | 8.65    
2190       | 0.13    
2190       | 0.06    
2190       | 20.32   
2190       | 4.72    
2190       | 2.02    
2190       | 20.30   
2190       | 4.72    
2190       | 2.02    
2190       | 4.42    
2190       | 0.10    
2190       | 0.05    
2190       | 7.15    
2190       | 6.01    
2190       | 2.66    
2220       | 62.89   
2220       | 5.63    
2220       | 5.27    
2220       | 5.31    
2220       | 24.47   
2220       | 7.11    
2220       | 24.85   
2220       | 6.95    
2220       | 68.11   
2220       | 0.06    
2220       | 62.40   
2220       | 0.04    
2220       | 31.85   
2220       | 3.39    
2220       | 9.03    
2220       | 3.26    
2220       | 52.26   
2220       | 3.11    
2220       | 10.83   
2220       | 2.72    
2220       | 21.63   
2220       | 2.88    
2220       | 8.52    
2220       | 2.81    
2220       | 47.60   
2220       | 5.31    
2220       | 23.49   
2220       | 2.18    
2220       | 2.23    
2220       | 2.02    
2220       | 47.16   
2220       | 4.44    
2220       | 6.55    
2220       | 4.22    
2220       | 46.63   
2220       | 4.42    
2220       | 6.66    
2220       | 4.19    
2220       | 17.01   
2220       | 5.61    
2220       | 17.68   
2220       | 5.50    
2220       | 53.18   
2220       | 0.05    
2220       | 49.00   
2220       | 0.03    
2220       | 5.82    
2220       | 7.47    
2220       | 87.03   
2220       | 0.02    
2230       | 26.28   
2230       | 4.99    
2230       | 1.73    
2230       | 27.18   
2230       | 4.99    
2230       | 1.73    
2230       | 10.62   
2230       | 0.12    
2230       | 0.05    
2230       | 10.62   
2230       | 0.12    
2230       | 0.05    
2230       | 26.28   
2230       | 4.99    
2230       | 1.73    
2230       | 27.18   
2230       | 4.99    
2230       | 1.73    
2230       | 10.95   
2230       | 3.01    
2230       | 1.06    
2230       | 11.46   
2230       | 3.01    
2230       | 1.06    
2230       | 28.08   
2230       | 2.73    
2230       | 0.99    
2230       | 28.59   
2230       | 2.73    
2230       | 0.98    
2230       | 6.66    
2230       | 2.50    
2230       | 0.88    
2230       | 7.05    
2230       | 2.50    
2230       | 0.88    
2230       | 11.76   
2230       | 5.27    
2230       | 1.89    
2230       | 11.42   
2230       | 1.83    
2230       | 0.66    
2230       | 11.76   
2230       | 1.83    
2230       | 0.66    
2230       | 18.60   
2230       | 3.94    
2230       | 1.37    
2230       | 19.30   
2230       | 3.94    
2230       | 1.37    
2230       | 18.47   
2230       | 3.92    
2230       | 1.37    
2230       | 19.16   
2230       | 3.92    
2230       | 1.37    
2230       | 7.80    
2230       | 0.10    
2230       | 0.04    
2230       | 7.81    
2230       | 0.10    
2230       | 0.04    
2230       | 18.60   
2230       | 3.94    
2230       | 1.37    
2230       | 19.30   
2230       | 3.94    
2230       | 1.37    
2230       | 3.01    
2230       | 0.07    
2230       | 0.03    
2230       | 11.76   
2230       | 5.27    
2230       | 1.89    
2280       | 4.12    
2280       | 3.51    
2280       | 0.26    
2280       | 5.08    
2280       | 3.47    
2280       | 0.92    
2280       | 21.09   
2280       | 3.00    
2280       | 0.00    
2280       | 6.44    
2280       | 2.97    
2280       | 0.89    
2280       | 3.14    
2280       | 2.78    
2280       | 0.25    
2280       | 3.75    
2280       | 2.75    
2280       | 0.63    
2280       | 9.91    
2280       | 6.11    
2280       | 2.16    
2280       | 7.88    
2280       | 2.02    
2280       | 0.02    
2280       | 2.88    
2280       | 2.00    
2280       | 0.39    
2280       | 5.78    
2280       | 4.58    
2280       | 0.17    
2280       | 7.39    
2280       | 4.50    
2280       | 1.33    
2280       | 5.78    
2280       | 4.56    
2280       | 0.18    
2280       | 7.40    
2280       | 4.49    
2280       | 1.33    
2280       | 17.51   
2280       | 4.58    
2280       | 0.01    
2280       | 3.88    
2280       | 4.58    
2280       | 0.62    
2280       | 6.57    
2280       | 0.15    
2280       | 0.55    
2280       | 8.99    
2280       | 0.11    
2280       | 0.96    
2280       | 6.23    
2280       | 6.17    
2280       | 0.09    
2280       | 9.51    
2280       | 0.09    
2280       | 2.15    
2270       | 15.72   
2270       | 15.46   
2270       | 34.89   
2270       | 34.44   
2270       | 9.04    
2270       | 8.92    
2270       | 0.45    
2270       | 14.75   
2270       | 14.54   
2270       | 27.67   
2270       | 27.60   
2270       | 27.53   
2270       | 27.05   
2260       | 14.93   
2260       | 14.69   
2260       | 34.65   
2260       | 34.50   
2260       | 8.63    
2260       | 8.44    
2260       | 0.60    
2260       | 14.46   
2260       | 14.33   
2260       | 26.56   
2260       | 26.21   
2260       | 26.05   
2260       | 25.74   
2250       | 14.51   
2250       | 3.01    
2250       | 31.62   
2250       | 3.15    
2250       | 2.05    
2250       | 2.40    
2250       | 42.71   
2250       | 2.81    
2250       | 10.40   
2250       | 2.46    
2250       | 20.24   
2250       | 2.54    
2250       | 58.59   
2250       | 5.09    
2250       | 0.84    
2250       | 1.74    
2250       | 18.84   
2250       | 1.90    
2250       | 15.23   
2250       | 3.88    
2250       | 45.36   
2250       | 4.12    
2250       | 15.09   
2250       | 3.88    
2250       | 45.00   
2250       | 4.12    
2250       | 33.97   
2250       | 0.03    
2250       | 39.68   
2250       | 0.07    
2250       | 14.02   
2250       | 4.40    
2250       | 14.34   
2250       | 4.52    
2250       | 68.10   
2250       | 0.02    
2250       | 5.97    
2250       | 5.99    
2300       | 7.00    
2300       | 2.98    
2300       | 6.67    
2300       | 2.98    
2300       | 17.33   
2300       | 2.51    
2300       | 17.02   
2300       | 2.51    
2300       | 4.37    
2300       | 2.53    
2300       | 4.11    
2300       | 2.53    
2300       | 5.94    
2300       | 4.89    
2300       | 7.18    
2300       | 1.82    
2300       | 6.96    
2300       | 1.82    
2300       | 11.78   
2300       | 3.88    
2300       | 11.33   
2300       | 3.88    
2300       | 11.75   
2300       | 3.87    
2300       | 11.30   
2300       | 3.87    
2300       | 11.78   
2300       | 3.88    
2300       | 11.33   
2300       | 3.88    
2300       | 6.07    
2300       | 0.12    
2300       | 6.06    
2300       | 0.12    
2300       | 5.94    
2300       | 4.89    
2300       | 2.61    
2300       | 0.09    
2290       | 5.51    
2290       | 3.33    
2290       | 2.82    
2290       | 3.88    
2290       | 3.08    
2290       | 2.44    
2290       | 5.85    
2290       | 3.05    
2290       | 2.66    
2290       | 1.56    
2290       | 2.37    
2290       | 1.73    
2290       | 4.27    
2290       | 2.78    
2290       | 2.38    
2290       | 3.35    
2290       | 2.63    
2290       | 2.16    
2290       | 7.86    
2290       | 5.05    
2290       | 4.08    
2290       | 3.23    
2290       | 2.15    
2290       | 1.83    
2290       | 1.40    
2290       | 1.87    
2290       | 1.45    
2290       | 7.88    
2290       | 4.38    
2290       | 3.76    
2290       | 5.04    
2290       | 3.94    
2290       | 3.08    
2290       | 7.91    
2290       | 4.38    
2290       | 3.75    
2290       | 5.07    
2290       | 3.93    
2290       | 3.08    
2290       | 3.14    
2290       | 4.61    
2290       | 0.35    
2290       | 12.10   
2290       | 4.44    
2290       | 0.02    
2290       | 11.51   
2290       | 0.12    
2290       | 3.51    
2290       | 23.43   
2290       | 0.04    
2290       | 3.28    
2290       | 4.07    
2290       | 5.80    
2290       | 0.07    
2290       | 29.14   
2290       | 0.04    
2290       | 4.05    
2285       | 4.68    
2285       | 4.23    
2285       | 4.68    
2285       | 4.23    
2285       | 3.87    
2285       | 3.29    
2285       | 3.87    
2285       | 3.29    
2285       | 3.51    
2285       | 3.47    
2285       | 3.52    
2285       | 3.47    
2285       | 7.94    
2285       | 8.09    
2285       | 2.30    
2285       | 2.32    
2285       | 2.30    
2285       | 2.32    
2285       | 6.83    
2285       | 5.51    
2285       | 6.83    
2285       | 5.51    
2285       | 6.84    
2285       | 5.50    
2285       | 6.84    
2285       | 5.50    
2285       | 6.83    
2285       | 5.51    
2285       | 6.83    
2285       | 5.51    
2285       | 4.80    
2285       | 0.09    
2285       | 4.80    
2285       | 0.09    
2285       | 7.94    
2285       | 8.09    
2285       | 2.51    
2285       | 0.07    
2320       | 6.81    
2320       | 3.16    
2320       | 6.81    
2320       | 2.84    
2320       | 19.30   
2320       | 2.84    
2320       | 19.51   
2320       | 2.20    
2320       | 4.26    
2320       | 2.75    
2320       | 4.21    
2320       | 2.56    
2320       | 4.89    
2320       | 4.64    
2320       | 7.67    
2320       | 2.07    
2320       | 7.75    
2320       | 1.81    
2320       | 11.69   
2320       | 4.19    
2320       | 11.70   
2320       | 3.63    
2320       | 11.57   
2320       | 4.18    
2320       | 11.58   
2320       | 3.62    
2320       | 6.05    
2320       | 0.28    
2320       | 14.64   
2320       | 0.04    
2320       | 4.16    
2320       | 0.05    
2310       | 7.83    
2310       | 2.53    
2310       | 17.54   
2310       | 2.62    
2310       | 6.79    
2310       | 2.01    
2310       | 25.41   
2310       | 2.28    
2310       | 6.53    
2310       | 2.30    
2310       | 11.71   
2310       | 2.35    
2310       | 29.96   
2310       | 3.74    
2310       | 3.46    
2310       | 1.66    
2310       | 11.31   
2310       | 1.77    
2310       | 8.90    
2310       | 3.27    
2310       | 25.44   
2310       | 3.42    
2310       | 8.87    
2310       | 3.27    
2310       | 25.31   
2310       | 3.42    
2310       | 17.41   
2310       | 0.03    
2310       | 21.24   
2310       | 0.05    
2310       | 12.34   
2310       | 3.60    
2310       | 13.03   
2310       | 3.69    
2310       | 36.00   
2310       | 0.01    
2310       | 11.05   
2310       | 4.34    
2410       | 29.06   
2410       | 6.13    
2410       | 2.15    
2410       | 28.81   
2410       | 6.13    
2410       | 2.15    
2410       | 29.06   
2410       | 6.13    
2410       | 2.15    
2410       | 28.81   
2410       | 6.13    
2410       | 2.15    
2410       | 11.19   
2410       | 0.14    
2410       | 0.05    
2410       | 11.19   
2410       | 0.14    
2410       | 0.05    
2410       | 12.07   
2410       | 3.70    
2410       | 1.33    
2410       | 11.93   
2410       | 3.70    
2410       | 1.33    
2410       | 30.30   
2410       | 3.38    
2410       | 1.24    
2410       | 30.09   
2410       | 3.38    
2410       | 1.24    
2410       | 7.44    
2410       | 3.14    
2410       | 1.12    
2410       | 7.33    
2410       | 3.14    
2410       | 1.12    
2410       | 10.27   
2410       | 6.16    
2410       | 2.22    
2410       | 12.59   
2410       | 2.39    
2410       | 0.88    
2410       | 12.48   
2410       | 2.39    
2410       | 0.88    
2410       | 20.57   
2410       | 4.84    
2410       | 1.70    
2410       | 20.38   
2410       | 4.84    
2410       | 1.70    
2410       | 20.41   
2410       | 4.81    
2410       | 1.71    
2410       | 20.22   
2410       | 4.81    
2410       | 1.71    
2410       | 20.57   
2410       | 4.84    
2410       | 1.70    
2410       | 20.38   
2410       | 4.84    
2410       | 1.70    
2410       | 8.37    
2410       | 0.12    
2410       | 0.04    
2410       | 8.37    
2410       | 0.12    
2410       | 0.04    
2410       | 10.27   
2410       | 6.16    
2410       | 2.22    
2410       | 3.94    
2410       | 0.09    
2410       | 0.03    
2400       | 44.23   
2400       | 44.11   
2400       | 17.59   
2400       | 17.49   
2400       | 42.10   
2400       | 42.27   
2400       | 10.17   
2400       | 10.03   
2400       | 0.41    
2400       | 17.72   
2400       | 17.74   
2400       | 31.30   
2400       | 30.93   
2400       | 30.70   
2400       | 30.68   
2390       | 20.96   
2390       | 8.09    
2390       | 79.50   
2390       | 7.96    
2390       | 60.29   
2390       | 0.03    
2390       | 60.67   
2390       | 0.03    
2390       | 25.70   
2390       | 9.83    
2390       | 73.20   
2390       | 9.68    
2390       | 15.60   
2390       | 4.85    
2390       | 40.57   
2390       | 4.79    
2390       | 16.96   
2390       | 4.51    
2390       | 66.27   
2390       | 4.35    
2390       | 15.20   
2390       | 4.21    
2390       | 29.82   
2390       | 4.18    
2390       | 57.41   
2390       | 7.63    
2390       | 7.55    
2390       | 3.27    
2390       | 31.56   
2390       | 3.21    
2390       | 17.26   
2390       | 6.35    
2390       | 60.02   
2390       | 6.25    
2390       | 17.27   
2390       | 6.33    
2390       | 59.01   
2390       | 6.23    
2390       | 47.29   
2390       | 0.03    
2390       | 47.57   
2390       | 0.03    
2390       | 21.15   
2390       | 7.70    
2390       | 55.54   
2390       | 7.59    
2390       | 86.31   
2390       | 0.01    
2390       | 56.81   
2390       | 10.22   
2360       | 26.82   
2360       | 6.06    
2360       | 0.34    
2360       | 52.22   
2360       | 6.15    
2360       | 0.34    
2360       | 35.61   
2360       | 7.54    
2360       | 0.41    
2360       | 36.37   
2360       | 7.57    
2360       | 0.42    
2360       | 66.25   
2360       | 0.06    
2360       | 0.01    
2360       | 68.13   
2360       | 0.07    
2360       | 0.01    
2360       | 9.86    
2360       | 3.66    
2360       | 0.24    
2360       | 23.94   
2360       | 3.70    
2360       | 0.24    
2360       | 29.62   
2360       | 3.22    
2360       | 0.22    
2360       | 46.17   
2360       | 3.33    
2360       | 0.22    
2360       | 6.45    
2360       | 3.08    
2360       | 0.21    
2360       | 15.44   
2360       | 3.10    
2360       | 0.21    
2360       | 23.92   
2360       | 5.83    
2360       | 0.34    
2360       | 12.05   
2360       | 2.33    
2360       | 0.18    
2360       | 20.07   
2360       | 2.37    
2360       | 0.18    
2360       | 18.22   
2360       | 4.77    
2360       | 0.28    
2360       | 38.01   
2360       | 4.83    
2360       | 0.28    
2360       | 18.11   
2360       | 4.76    
2360       | 0.29    
2360       | 37.63   
2360       | 4.83    
2360       | 0.28    
2360       | 25.56   
2360       | 5.93    
2360       | 0.34    
2360       | 26.12   
2360       | 5.95    
2360       | 0.34    
2360       | 52.57   
2360       | 0.06    
2360       | 0.01    
2360       | 53.93   
2360       | 0.06    
2360       | 0.01    
2360       | 19.57   
2360       | 7.98    
2360       | 0.45    
2360       | 94.12   
2360       | 0.03    
2360       | 0.00    
2370       | 48.09   
2370       | 2.65    
2370       | 44.94   
2370       | 2.64    
2370       | 19.75   
2370       | 1.62    
2370       | 17.91   
2370       | 1.61    
2370       | 43.66   
2370       | 1.75    
2370       | 42.08   
2370       | 1.75    
2370       | 11.98   
2370       | 1.33    
2370       | 10.53   
2370       | 1.33    
2370       | 11.59   
2370       | 3.01    
2370       | 18.77   
2370       | 1.10    
2370       | 17.66   
2370       | 1.10    
2370       | 34.25   
2370       | 2.08    
2370       | 31.72   
2370       | 2.08    
2370       | 33.58   
2370       | 2.10    
2370       | 31.14   
2370       | 2.09    
2380       | 11.31   
2380       | 3.40    
2380       | 11.32   
2380       | 3.40    
2380       | 25.04   
2380       | 2.92    
2380       | 25.02   
2380       | 2.92    
2380       | 7.29    
2380       | 2.78    
2380       | 7.30    
2380       | 2.78    
2380       | 12.06   
2380       | 5.79    
2380       | 10.47   
2380       | 2.04    
2380       | 10.46   
2380       | 2.04    
2380       | 18.44   
2380       | 4.45    
2380       | 18.45   
2380       | 4.45    
2380       | 18.35   
2380       | 4.42    
2380       | 18.36   
2380       | 4.42    
2380       | 7.22    
2380       | 0.11    
2380       | 7.22    
2380       | 0.11    
2380       | 18.44   
2380       | 4.45    
2380       | 18.45   
2380       | 4.45    
2380       | 2.32    
2380       | 0.08    
2380       | 12.06   
2380       | 5.79    
2430       | 20.43   
2430       | 3.85    
2430       | 1.57    
2430       | 42.44   
2430       | 3.96    
2430       | 1.57    
2430       | 24.51   
2430       | 4.99    
2430       | 2.07    
2430       | 25.21   
2430       | 5.03    
2430       | 2.05    
2430       | 59.81   
2430       | 0.05    
2430       | 0.02    
2430       | 61.50   
2430       | 0.06    
2430       | 0.02    
2430       | 5.95    
2430       | 2.34    
2430       | 0.98    
2430       | 19.14   
2430       | 2.38    
2430       | 0.97    
2430       | 26.67   
2430       | 2.01    
2430       | 0.90    
2430       | 40.19   
2430       | 2.13    
2430       | 0.90    
2430       | 2.57    
2430       | 2.01    
2430       | 0.82    
2430       | 11.96   
2430       | 2.03    
2430       | 0.82    
2430       | 17.22   
2430       | 3.63    
2430       | 1.57    
2430       | 10.15   
2430       | 1.46    
2430       | 0.63    
2430       | 16.86   
2430       | 1.51    
2430       | 0.63    
2430       | 13.39   
2430       | 3.04    
2430       | 1.25    
2430       | 30.79   
2430       | 3.11    
2430       | 1.25    
2430       | 13.27   
2430       | 3.04    
2430       | 1.25    
2430       | 30.50   
2430       | 3.11    
2430       | 1.25    
2430       | 17.20   
2430       | 3.93    
2430       | 1.64    
2430       | 17.74   
2430       | 3.97    
2430       | 1.62    
2430       | 47.44   
2430       | 0.05    
2430       | 0.02    
2430       | 48.66   
2430       | 0.06    
2430       | 0.02    
2430       | 6.77    
2430       | 5.31    
2430       | 2.30    
2430       | 85.94   
2430       | 0.03    
2430       | 0.01    
2440       | 31.74   
2440       | 5.20    
2440       | 5.03    
2440       | 2.50    
2440       | 10.35   
2440       | 2.49    
2440       | 2.96    
2440       | 1.69    
2440       | 17.02   
2440       | 5.24    
2440       | 0.24    
2440       | 0.13    
2440       | 22.31   
2440       | 4.94    
2440       | 0.08    
2440       | 0.03    
2440       | 12.17   
2440       | 0.70    
2440       | 5.60    
2440       | 2.29    
2440       | 28.35   
2440       | 0.05    
2440       | 5.30    
2440       | 1.77    
2440       | 15.84   
2440       | 2.92    
2440       | 2.88    
2440       | 1.45    
2440       | 7.04    
2440       | 1.85    
2440       | 2.07    
2440       | 1.13    
2440       | 21.08   
2440       | 3.39    
2440       | 3.30    
2440       | 1.67    
2440       | 4.40    
2440       | 0.72    
2440       | 1.26    
2440       | 0.82    
2440       | 11.39   
2440       | 2.33    
2440       | 2.29    
2440       | 1.15    
2440       | 6.27    
2440       | 1.72    
2440       | 1.82    
2440       | 0.97    
2440       | 21.94   
2440       | 3.86    
2440       | 4.27    
2440       | 2.34    
2440       | 10.13   
2440       | 2.04    
2440       | 1.97    
2440       | 0.98    
2440       | 0.70    
2440       | 0.95    
2440       | 1.14    
2440       | 0.64    
2440       | 23.55   
2440       | 4.01    
2440       | 3.91    
2440       | 1.95    
2440       | 8.34    
2440       | 2.13    
2440       | 2.47    
2440       | 1.38    
2440       | 23.50   
2440       | 3.99    
2440       | 3.88    
2440       | 1.95    
2440       | 8.32    
2440       | 2.11    
2440       | 2.45    
2440       | 1.38    
2440       | 11.77   
2440       | 4.14    
2440       | 0.20    
2440       | 0.11    
2440       | 16.17   
2440       | 3.91    
2440       | 0.08    
2440       | 0.03    
2440       | 8.04    
2440       | 0.52    
2440       | 4.40    
2440       | 1.79    
2440       | 20.16   
2440       | 0.04    
2440       | 4.17    
2440       | 1.43    
2440       | 8.61    
2440       | 5.07    
2440       | 0.08    
2440       | 0.04    
2440       | 5.89    
2440       | 0.04    
2440       | 5.50    
2440       | 2.25    
2450       | 10.25   
2450       | 2.73    
2450       | 8.18    
2450       | 2.73    
2450       | 25.82   
2450       | 2.26    
2450       | 23.39   
2450       | 2.25    
2450       | 6.36    
2450       | 2.28    
2450       | 4.72    
2450       | 2.28    
2450       | 6.03    
2450       | 4.42    
2450       | 10.59   
2450       | 1.62    
2450       | 9.20    
2450       | 1.62    
2450       | 17.29   
2450       | 3.56    
2450       | 14.49   
2450       | 3.55    
2450       | 17.12   
2450       | 3.55    
2450       | 14.37   
2450       | 3.54    
2450       | 17.11   
2450       | 0.04    
2450       | 15.97   
2450       | 0.04    
2450       | 14.70   
2450       | 3.88    
2450       | 14.78   
2450       | 3.88    
2450       | 23.36   
2450       | 0.02    
2450       | 8.55    
2450       | 5.00    
2530       | 24.13   
2530       | 6.41    
2530       | 1.77    
2530       | 23.06   
2530       | 6.41    
2530       | 1.77    
2530       | 11.05   
2530       | 3.86    
2530       | 1.10    
2530       | 10.49   
2530       | 3.86    
2530       | 1.10    
2530       | 25.07   
2530       | 3.53    
2530       | 1.03    
2530       | 24.34   
2530       | 3.53    
2530       | 1.03    
2530       | 7.95    
2530       | 3.35    
2530       | 0.97    
2530       | 7.57    
2530       | 3.35    
2530       | 0.97    
2530       | 12.95   
2530       | 6.22    
2530       | 1.73    
2530       | 10.77   
2530       | 2.57    
2530       | 0.77    
2530       | 10.30   
2530       | 2.57    
2530       | 0.77    
2530       | 17.45   
2530       | 5.05    
2530       | 1.41    
2530       | 16.62   
2530       | 5.05    
2530       | 1.41    
2530       | 17.38   
2530       | 5.03    
2530       | 1.41    
2530       | 16.57   
2530       | 5.03    
2530       | 1.41    
2520       | 39.77   
2520       | 40.76   
2520       | 16.76   
2520       | 17.30   
2520       | 38.72   
2520       | 39.59   
2520       | 8.95    
2520       | 9.41    
2520       | 20.51   
2520       | 15.79   
2520       | 16.32   
2520       | 28.38   
2520       | 28.97   
2520       | 27.99   
2520       | 28.80   
2510       | 40.42   
2510       | 40.77   
2510       | 16.03   
2510       | 16.25   
2510       | 38.60   
2510       | 38.63   
2510       | 9.21    
2510       | 9.41    
2510       | 0.24    
2510       | 16.36   
2510       | 16.42   
2510       | 28.40   
2510       | 28.77   
2510       | 28.10   
2510       | 28.35   
2490       | 82.72   
2490       | 0.76    
2490       | 16.97   
2490       | 0.95    
2490       | 39.60   
2490       | 0.50    
2490       | 1.18    
2490       | 0.58    
2490       | 64.10   
2490       | 0.41    
2490       | 30.01   
2490       | 0.55    
2490       | 24.53   
2490       | 0.35    
2490       | 2.14    
2490       | 0.39    
2490       | 52.65   
2490       | 1.30    
2490       | 28.09   
2490       | 0.23    
2490       | 11.53   
2490       | 0.29    
2490       | 61.37   
2490       | 0.62    
2490       | 8.93    
2490       | 0.75    
2490       | 60.30   
2490       | 0.62    
2490       | 9.01    
2490       | 0.75    
2480       | 9.96    
2480       | 1.79    
2480       | 22.69   
2480       | 0.01    
2480       | 3.69    
2480       | 0.87    
2480       | 3.70    
2480       | 0.01    
2480       | 9.06    
2480       | 1.43    
2480       | 32.72   
2480       | 0.01    
2480       | 1.96    
2480       | 0.62    
2480       | 1.87    
2480       | 0.12    
2480       | 1.82    
2480       | 0.68    
2480       | 3.36    
2480       | 0.73    
2480       | 9.62    
2480       | 0.01    
2480       | 6.75    
2480       | 1.32    
2480       | 13.50   
2480       | 0.01    
2480       | 6.79    
2480       | 1.31    
2480       | 13.52   
2480       | 0.01    
2540       | 28.16   
2540       | 3.81    
2540       | 26.65   
2540       | 3.81    
2540       | 21.25   
2540       | 5.69    
2540       | 21.30   
2540       | 5.69    
2540       | 78.28   
2540       | 0.02    
2540       | 78.16   
2540       | 0.02    
2540       | 11.34   
2540       | 2.31    
2540       | 10.43   
2540       | 2.31    
2540       | 29.40   
2540       | 1.81    
2540       | 28.68   
2540       | 1.80    
2540       | 6.58    
2540       | 2.11    
2540       | 6.03    
2540       | 2.11    
2540       | 2.51    
2540       | 2.76    
2540       | 11.76   
2540       | 1.60    
2540       | 11.41   
2540       | 1.60    
2540       | 19.84   
2540       | 3.00    
2540       | 18.67   
2540       | 3.00    
2540       | 19.66   
2540       | 3.00    
2540       | 18.47   
2540       | 3.00    
2540       | 15.17   
2540       | 4.47    
2540       | 15.22   
2540       | 4.47    
2540       | 61.81   
2540       | 0.02    
2540       | 61.73   
2540       | 0.02    
2540       | 8.54    
2540       | 5.54    
2540       | 113.16  
2540       | 0.01    
2550       | 12.77   
2550       | 11.70   
2550       | 29.53   
2550       | 28.64   
2550       | 7.50    
2550       | 6.58    
2550       | 0.78    
2550       | 12.28   
2550       | 11.60   
2550       | 22.36   
2550       | 20.93   
2550       | 22.10   
2550       | 20.72   
2560       | 11.94   
2560       | 13.71   
2560       | 30.50   
2560       | 32.02   
2560       | 6.65    
2560       | 8.15    
2560       | 1.64    
2560       | 12.25   
2560       | 13.35   
2560       | 21.62   
2560       | 23.94   
2560       | 21.27   
2560       | 23.58   
2570       | 12.77   
2570       | 10.74   
2570       | 30.33   
2570       | 28.58   
2570       | 7.64    
2570       | 5.91    
2570       | 1.61    
2570       | 12.53   
2570       | 11.24   
2570       | 22.18   
2570       | 19.49   
2570       | 21.88   
2570       | 19.24   
2580       | 32.82   
2580       | 5.15    
2580       | 58.98   
2580       | 29.12   
2580       | 19.40   
2580       | 3.35    
2580       | 50.09   
2580       | 23.17   
2580       | 11.15   
2580       | 52.41   
2580       | 9.75    
2580       | 49.50   
2580       | 10.26   
2610       | 12.86   
2610       | 11.17   
2610       | 29.63   
2610       | 28.21   
2610       | 7.64    
2610       | 6.20    
2610       | 1.30    
2610       | 12.26   
2610       | 11.20   
2610       | 22.41   
2610       | 20.17   
2610       | 22.13   
2610       | 19.92   
2630       | 6.43    
2630       | 3.10    
2630       | 2.82    
2630       | 8.41    
2630       | 3.40    
2630       | 3.18    
2630       | 3.10    
2630       | 2.40    
2630       | 2.06    
2630       | 9.13    
2630       | 3.19    
2630       | 2.98    
2630       | 5.57    
2630       | 2.69    
2630       | 2.55    
2630       | 6.71    
2630       | 2.86    
2630       | 2.75    
2630       | 12.09   
2630       | 5.25    
2630       | 4.64    
2630       | 2.94    
2630       | 1.91    
2630       | 1.75    
2630       | 5.45    
