Step 7: Joint Support Tags
Sequence | Max Force
2460       | 15.92   
2460       | 14.19   
2460       | 3.27    
2460       | 25.88   
2460       | 24.63   
2460       | 48.46   
2460       | 45.64   
2460       | 46.95   
2460       | 44.24   
2470       | 57.19   
2470       | 7.93    
2470       | 1.83    
2470       | 14.52   
2470       | 4.77    
2470       | 1.48    
2470       | 26.93   
2470       | 4.46    
2470       | 1.10    
2470       | 1.79    
2470       | 3.21    
2470       | 0.96    
2470       | 45.90   
2470       | 4.86    
2470       | 1.29    
2470       | 17.34   
2470       | 1.89    
2470       | 0.82    
2470       | 19.12   
2470       | 3.73    
2470       | 0.94    
2470       | 2.99    
2470       | 3.01    
2470       | 0.86    
2470       | 25.31   
2470       | 5.70    
2470       | 1.63    
2470       | 21.91   
2470       | 3.19    
2470       | 0.85    
2470       | 4.37    
2470       | 1.99    
2470       | 0.66    
2470       | 42.33   
2470       | 6.13    
2470       | 1.43    
2470       | 8.60    
2470       | 3.92    
2470       | 1.19    
2470       | 41.38   
2470       | 6.08    
2470       | 1.45    
2470       | 8.15    
2470       | 3.88    
2470       | 1.20    
2470       | 28.21   
2470       | 2.01    
2470       | 1.19    
2470       | 7.93    
2470       | 0.02    
2470       | 0.27    
2470       | 24.46   
2470       | 1.14    
2470       | 1.37    
2470       | 37.98   
2470       | 2.69    
2470       | 1.52    
2470       | 10.85   
2470       | 0.01    
2470       | 0.02    
2670       | 43.09   
2670       | 7.52    
2670       | 6.03    
2670       | 0.07    
2670       | 25.63   
2670       | 3.81    
2670       | 3.84    
2670       | 0.09    
2670       | 49.94   
2670       | 7.28    
2670       | 0.08    
2670       | 5.69    
2670       | 54.38   
2670       | 5.29    
2670       | 0.08    
2670       | 6.98    
2670       | 43.19   
2670       | 0.61    
2670       | 11.99   
2670       | 0.05    
2670       | 53.28   
2670       | 0.01    
2670       | 11.65   
2670       | 0.05    
2670       | 23.77   
2670       | 4.12    
2670       | 3.43    
2670       | 0.05    
2670       | 16.30   
2670       | 2.68    
2670       | 2.57    
2670       | 0.07    
2670       | 30.21   
2670       | 4.79    
2670       | 3.94    
2670       | 0.13    
2670       | 11.95   
2670       | 1.29    
2670       | 1.95    
2670       | 0.24    
2670       | 19.07   
2670       | 3.48    
2670       | 2.67    
2670       | 0.05    
2670       | 14.72   
2670       | 2.65    
2670       | 2.18    
2670       | 0.07    
2670       | 36.25   
2670       | 5.62    
2670       | 5.30    
2670       | 0.03    
2670       | 16.63   
2670       | 2.95    
2670       | 2.25    
2670       | 0.10    
2670       | 8.41    
2670       | 1.55    
2670       | 1.48    
2670       | 0.18    
2670       | 33.08   
2670       | 5.74    
2670       | 4.66    
2670       | 0.06    
2670       | 20.43   
2670       | 3.17    
2670       | 3.14    
2670       | 0.08    
2670       | 33.10   
2670       | 5.70    
2670       | 4.64    
2670       | 0.06    
2670       | 20.40   
2670       | 3.15    
2670       | 3.13    
2670       | 0.08    
2670       | 39.06   
2670       | 5.62    
2670       | 0.08    
2670       | 4.53    
2670       | 42.10   
2670       | 4.25    
2670       | 0.07    
