Sequence | Type       | Latitude    | Longitude     | Framing                           | Anchor Direction | Lead Length
2300 | P1 to PG11 | 42.48871352 | -123.37297586 | EH131                             | W  | 17.61
2300 | P1 to NG12 | 42.48871352 | -123.37297586 | EH131                             | W  | 17.61
2310 | P1 to PG11 | 42.48885669 | -123.37185129 | EH121                             | NW | 14.06
2310 | P1 to NG12 | 42.48885669 | -123.37185129 | EH121                             | NW | 14.06
2320 | P1 to PG11 | 42.48882476 | -123.37092771 | EH101 + EH221                     | SE | 16.97
2320 | P1 to NG12 | 42.48882476 | -123.37092771 | EH101 + EH221                     | SE | 16.97
2330 | P1 to PG11 | 42.48950886 | -123.37100237 | EH131                             | N  | 22.43
2330 | P1 to NG12 | 42.48950886 | -123.37100237 | EH131                             | N  | 22.43
2340 | P1 to PG11 | 42.48825282 | -123.37097024 | EH131                             | S  | 15.16
2340 | P1 to NG12 | 42.48825282 | -123.37097024 | EH131                             | S  | 15.16
2350 | P1         | 42.48649230 | -123.37674106 | EJ300 TAN + EH421 + EH401         |    | 0.00 
2360 | P1 to PG11 | 42.48646523 | -123.37653938 | EH111                             | SW | 39.85
2360 | P1 to NG12 | 42.48646523 | -123.37653938 | EH111                             | SW | 39.85
2360 | P1 to CM21 | 42.48648092 | -123.37641385 | EH111                             | SW | 5.52 
2370 | P1 to CM11 | 42.48666772 | -123.37492775 | EH101                             | NE | 20.56
2380 | P1 to PG11 | 42.48683811 | -123.37351169 | EH131                             | NE | 14.21
2380 | P1 to NG12 | 42.48683811 | -123.37351169 | EH131                             | NE | 14.21
2390 | P1 to PG11 | 42.48648265 | -123.37706477 | EH111 ST50.01 TEST                | E  | 10.89
2390 | P1 to CM21 | 42.48648265 | -123.37706477 | EH111 ST50.01 TEST                | E  | 10.89
2390 | P1 to NG12 | 42.48648265 | -123.37706477 | EH111 ST50.01 TEST                | E  | 10.89
2400 | P1         | 42.48647714 | -123.37828925 | EH101                             |    | 0.00 
2410 | P1 to PG11 | 42.48647131 | -123.37955189 | EH131                             | W  | 23.71
2410 | P1 to NG12 | 42.48647131 | -123.37955189 | EH131                             | W  | 23.71
2410 | P1 to CM21 | 42.48647144 | -123.37952189 | EH131                             | W  | 15.62
2420 | P1         | 42.48550904 | -123.37673996 | EJ300 TAN + EH421                 |    | 0.00 
2430 | P1 to PG11 | 42.48547596 | -123.37655560 | EH111                             | SW | 33.88
2430 | P1 to NG12 | 42.48547596 | -123.37655560 | EH111                             | SW | 33.88
2430 | P1 to CM21 | 42.48547811 | -123.37652171 | EH111                             | SW | 24.71
2440 | P1 to PG11 | 42.48556075 | -123.37540466 | EH111                             | NW | 16.58
2440 | P1 to NG12 | 42.48556075 | -123.37540466 | EH111                             | NW | 16.58
2440 | P1 to PG21 | 42.48554871 | -123.37522760 | EH111                             | NE | 32.71
2440 | P1 to NG22 | 42.48554871 | -123.37522760 | EH111                             | NE | 32.71
2440 | P1 to CM31 | 42.48554991 | -123.37525687 | EH111                             | NE | 24.89
2450 | P1 to PG11 | 42.48520979 | -123.37434981 | EH131                             | SE | 15.23
2450 | P1 to NG12 | 42.48520979 | -123.37434981 | EH131                             | SE | 15.23
2460 | P1         | 42.48478533 | -123.37674335 | EJ300 TAN                         |    | 0.00 
2470 | P1 to PG11 | 42.48403178 | -123.37666722 | EJ300 TAN + EH321                 | SE | 22.46
2470 | P1 to NG12 | 42.48403178 | -123.37666722 | EJ300 TAN + EH321                 | SE | 22.46
2470 | P1 to CM21 | 42.48403414 | -123.37669610 | EJ300 TAN + EH321                 | SE | 14.63
2480 | P1 to PG11 | 42.48413119 | -123.37800490 | EH101                             | N  | 9.78 
2480 | P1 to CM12 | 42.48413119 | -123.37800490 | EH101                             | N  | 9.78 
2490 | P1 to CM11 | 42.48409540 | -123.37932300 | EH101 + EH221                     | W  | 18.16
2500 | P1         | 42.48387443 | -123.37902364 | EH131                             |    | 0.00 
2510 | P1         | 42.48408730 | -123.38051489 | EH101                             |    | 0.00 
2520 | P1         | 42.48408081 | -123.38175115 | EH101                             |    | 0.00 
2530 | P1 to PG11 | 42.48407651 | -123.38247774 | EH131                             | W  | 19.51
2530 | P1 to NG12 | 42.48407651 | -123.38247774 | EH131                             | W  | 19.51
2530 | P1 to CM21 | 42.48407669 | -123.38244755 | EH131                             | W  | 11.37
2540 | P1 to PG11 | 42.48403981 | -123.37646812 | EH201                             | W  | 15.45
2540 | P1 to PG12 | 42.48403981 | -123.37646812 | EH201                             | W  | 15.45
2550 | P1         | 42.48403352 | -123.37524252 | EH101                             |    | 0.00 
2560 | P1         | 42.48402335 | -123.37396092 | EH101                             |    | 0.00 
2570 | P1         | 42.48401986 | -123.37279838 | EH101                             |    | 0.00 
2580 | P1         | 42.48401107 | -123.37177430 | EH101 + EH221                     |    | 0.00 
2590 | P1 to PG11 | 42.48388897 | -123.37181959 | EH111                             | N  | 26.62
2590 | P1 to NG12 | 42.48388897 | -123.37181959 | EH111                             | N  | 26.62
2600 | P1 to PG11 | 42.48325719 | -123.37182572 | EH131                             | S  | 21.75
2600 | P1 to NG12 | 42.48325719 | -123.37182572 | EH131                             | S  | 21.75
2610 | P1         | 42.48403443 | -123.37065110 | EH101                             |    | 0.00 
2630 | P1 to PG11 | 42.48405468 | -123.36940512 | EH121                             | E  | 13.95
2630 | P1 to NG12 | 42.48405468 | -123.36940512 | EH121                             | E  | 13.95
2630 | P1 to PG21 | 42.48397585 | -123.36946823 | EH121                             | SW | 28.58
2630 | P1 to NG22 | 42.48397585 | -123.36946823 | EH121                             | SW | 28.58
2640 | P1         | 42.48465008 | -123.36936965 | EH111 + EH221                     |    | 0.00 
2645 | P1 to PG11 | 42.48470604 | -123.36958169 | EG371                             | NW | 8.06 
2645 | P1 to NG12 | 42.48470604 | -123.36958169 | EG371                             | NW | 8.06 
2650 | P1 to PG11 | 42.48432221 | -123.36811737 | EH131                             | SE | 13.71
2650 | P1 to NG12 | 42.48432221 | -123.36811737 | EH131                             | SE | 13.71
2660 | P1 to PG11 | 42.48509285 | -123.36935943 | EH131                             | N  | 13.41
2660 | P1 to NG12 | 42.48509285 | -123.36935943 | EH131                             | N  | 13.41
2670 | P1 to PG11 | 42.48337868 | -123.37670780 | EJ300 DDE + EH341 + EH226         | NE | 13.35
2670 | P1 to NG12 | 42.48337868 | -123.37670780 | EJ300 DDE + EH341 + EH226         | NE | 13.35
2670 | P1 to PG21 | 42.48328307 | -123.37674472 | EJ300 DDE + EH341 + EH226         | S  | 26.09
2670 | P1 to PG22 | 42.48328307 | -123.37674472 | EJ300 DDE + EH341 + EH226         | S  | 26.09
2670 | P1 to PG31 | 42.48340081 | -123.37674558 | EJ300 DDE + EH341 + EH226         | N  | 16.81
2670 | P1 to PG32 | 42.48340081 | -123.37674558 | EJ300 DDE + EH341 + EH226         | N  | 16.81
2680 | P1 to PG11 | 42.48307638 | -123.37717915 | EH131                             | SW | 15.29
2680 | P1 to NG12 | 42.48307638 | -123.37717915 | EH131                             | SW | 15.29
2690 | P1         | 42.48251998 | -123.37673879 | EH101                             |    | 0.00 
2700 | P1 to SE11 | 42.48177758 | -123.37670755 | EH101                             | NE | 12.65
2710 | P1         | 42.48147763 | -123.37672613 | EH101                             |    | 0.00 
2720 | P1         | 42.48086429 | -123.37672339 | EH101                             |    | 0.00 
2730 | P1 to P2   | 42.48044649 | -123.37690426 | EH101 + EH221                     | W  | 51.74
2730 | P1 to PG11 | 42.48044653 | -123.37693002 | EH101 + EH221                     | W  | 58.68
2730 | P1 to PG12 | 42.48044653 | -123.37693002 | EH101 + EH221                     | W  | 58.68
2730 | P1 to PG13 | 42.48044653 | -123.37693002 | EH101 + EH221                     | W  | 58.68
2740 | P1         | 42.48044626 | -123.37580977 | EH101                             |    | 0.00 
2750 | P1 to PG11 | 42.48044435 | -123.37488343 | EH131                             | E  | 30.44
2750 | P1 to NG12 | 42.48044435 | -123.37488343 | EH131                             | E  | 30.44
2750 | P1 to CM21 | 42.48044468 | -123.37491230 | EH131                             | E  | 22.65
2760 | P1         | 42.48003848 | -123.37672701 | EH111 + EH221                     |    | 0.00 
2765 | P1 to PG11 | 42.48002068 | -123.37691937 | EG371                             | SW | 6.44 
2765 | P1 to NG12 | 42.48002068 | -123.37691937 | EG371                             | SW | 6.44 
2765 | P1 to CM13 | 42.48002068 | -123.37691937 | EG371                             | SW | 6.44 
2770 | P1 to PG11 | 42.47989605 | -123.37669392 | EH121                             | NW | 10.08
2770 | P1 to CM13 | 42.47989605 | -123.37669392 | EH121                             | NW | 10.08
2770 | P1 to NG12 | 42.47989605 | -123.37669392 | EH121                             | NW | 10.08
2780 | P1 to PG11 | 42.47972778 | -123.37591849 | EH131                             | SE | 11.58
2780 | P1 to NG12 | 42.47972778 | -123.37591849 | EH131                             | SE | 11.58
2780 | P1 to CM21 | 42.47973126 | -123.37593457 | EH131                             | SE | 7.07 
2790 | P1 to CM13 | 42.47942596 | -123.37663922 | EH106 + EH221 7991949-055         | E  | 8.37 
2795 | P1 to CM11 | 42.47938716 | -123.37685223 | EG371 DF35.05                     | SW | 5.36 
2800 | P1         | 42.47942009 | -123.37779447 | EH101                             |    | 0.00 
2810 | P1 to PG11 | 42.47940533 | -123.37893695 | EH121                             | SW | 9.24 
2810 | P1 to NG12 | 42.47940533 | -123.37893695 | EH121                             | SW | 9.24 
2820 | P1 to PG11 | 42.47996796 | -123.37947963 | EH131                             | NW | 15.76
2820 | P1 to NG12 | 42.47996796 | -123.37947963 | EH131                             | NW | 15.76
2830 | P1         | 42.47909513 | -123.37652725 | EH101                             |    | 0.00 
2840 | P1 to PG11 | 42.47860472 | -123.37626384 | EH101 + EH221                     | NE | 13.54
2840 | P1 to NG12 | 42.47860472 | -123.37626384 | EH101 + EH221                     | NE | 13.54
2850 | P1 to PG11 | 42.47846672 | -123.37700770 | EH131                             | SW | 13.25
2850 | P1 to NG12 | 42.47846672 | -123.37700770 | EH131                             | SW | 13.25
2860 | P1         | 42.47787182 | -123.37600484 | EH101                             |    | 0.00 
2870 | P1 to PG11 | 42.47721484 | -123.37571761 | EH106                             | NE | 7.54 
2870 | P1 to CM12 | 42.47721484 | -123.37571761 | EH106                             | NE | 7.54 
2880 | P1 to P2   | 42.47669304 | -123.37569956 | EH121                             | SE | 72.94
2880 | P1 to PG11 | 42.47665067 | -123.37569626 | EH121                             | SE | 88.40
2880 | P1 to PG12 | 42.47665067 | -123.37569626 | EH121                             | SE | 88.40
2890 | P1 to PG11 | 42.47685678 | -123.37552634 | EH111                             | W  | 28.19
2890 | P1 to NG12 | 42.47685678 | -123.37552634 | EH111                             | W  | 28.19
2890 | P1 to CM21 | 42.47685677 | -123.37550823 | EH111                             | W  | 23.30
2900 | P1 to CM11 | 42.47685863 | -123.37426810 | EH101                             | NE | 12.61
2910 | P1         | 42.47685963 | -123.37321059 | EH111                             |    | 0.00 
2920 | P1         | 42.47685667 | -123.37234090 | EH101                             |    | 0.00 
2930 | P1 to PG11 | 42.47685904 | -123.37198824 | EH121                             | E  | 18.51
2930 | P1 to NG12 | 42.47685904 | -123.37198824 | EH121                             | E  | 18.51
2930 | P1 to CM21 | 42.47685892 | -123.37200662 | EH121                             | E  | 13.55
2940 | P1 to PG11 | 42.47688143 | -123.37193634 | EH121                             | SW | 25.78
2940 | P1 to NG12 | 42.47688143 | -123.37193634 | EH121                             | SW | 25.78
2940 | P1 to CM21 | 42.47689250 | -123.37192477 | EH121                             | SW | 20.68
2950 | P1 to CM11 | 42.47760845 | -123.37117604 | EH101                             | NE | 10.35
2960 | P1 to PG11 | 42.47832740 | -123.37052751 | EH131                             | NE | 27.90
2960 | P1 to NG12 | 42.47832740 | -123.37052751 | EH131                             | NE | 27.90
