Sequence | Label | Type      | Grade
2190     | P1    | Pole Deflection | B
2190     | P1    | Steel Pole | B
2190     | P1    | Pole Deflection | B
2190     | P1    | Steel Pole | B
2190     | P1    | Pole Deflection | B
2190     | PG11  | Guy        | B
2190     | c1    | Clamp      | B
2190     | P1    | Pole Deflection | B
2190     | PG11  | Guy        | B
2190     | c1    | Clamp      | B
2190     | P1    | Pole Deflection | B
2190     | PG11  | Guy        | C
2190     | c1    | Clamp      | C
2190     | P1    | Pole Deflection | C
2190     | PG11  | Guy        | C
2190     | c1    | Clamp      | C
2190     | P1    | Pole Deflection | C
2190     | PG11  | Guy        | C
2190     | c1    | Clamp      | C
2190     | P1    | Pole Deflection | C
2190     | PG11  | Guy        | C
2190     | c1    | Clamp      | C
2190     | P1    | Pole Deflection | C
2190     | P1    | Steel Pole | C
2190     | P1    | Pole Deflection | C
2190     | P1    | Steel Pole | C
2190     | P1    | Pole Deflection | C
2190     | PG11  | Guy        | C
2190     | c1    | Clamp      | C
2190     | P1    | Pole Deflection | C
2190     | PG11  | Guy        | C
2190     | c1    | Clamp      | C
2190     | P1    | Pole Deflection | C
2220     | P1    | Steel Pole | B
2220     | C1-c1 | Clamp      | B
2220     | P1    | Pole Deflection | B
2220     | PG11  | Guy        | B
2220     | C1-c1 | Clamp      | B
2220     | P1    | Pole Deflection | B
2220     | PG11  | Guy        | B
2220     | C1-c1 | Clamp      | B
2220     | P1    | Pole Deflection | B
2220     | PG11  | Guy        | B
2220     | C1-c1 | Clamp      | B
2220     | P1    | Pole Deflection | B
2220     | P1    | Steel Pole | B
2220     | c1    | Clamp      | B
2220     | P1    | Pole Deflection | B
2220     | P1    | Steel Pole | B
2220     | c1    | Clamp      | B
2220     | P1    | Pole Deflection | B
2220     | P1    | Steel Pole | C
2220     | C1-c1 | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | PG11  | Guy        | C
2220     | C1-c1 | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | P1    | Steel Pole | C
2220     | C1-c1 | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | PG11  | Guy        | C
2220     | C1-c1 | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | PG11  | Guy        | C
2220     | C1-c1 | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | PG11  | Guy        | C
2220     | C1-c1 | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | P1    | Steel Pole | C
2220     | c1    | Clamp      | C
2220     | P1    | Pole Deflection | C
2220     | P1    | Steel Pole | C
2220     | c1    | Clamp      | C
2220     | P1    | Pole Deflection | C
2230     | PG11  | Guy        | B
2230     | c1    | Clamp      | B
2230     | P1    | Pole Deflection | B
2230     | PG11  | Guy        | B
2230     | c1    | Clamp      | B
2230     | P1    | Pole Deflection | B
2230     | P1    | Steel Pole | B
2230     | P1    | Pole Deflection | B
2230     | P1    | Steel Pole | B
2230     | P1    | Pole Deflection | B
2230     | PG11  | Guy        | B
2230     | c1    | Clamp      | B
2230     | P1    | Pole Deflection | B
2230     | PG11  | Guy        | B
2230     | c1    | Clamp      | B
2230     | P1    | Pole Deflection | B
2230     | PG11  | Guy        | C
2230     | c1    | Clamp      | C
2230     | P1    | Pole Deflection | C
2230     | PG11  | Guy        | C
2230     | c1    | Clamp      | C
2230     | P1    | Pole Deflection | C
2230     | PG11  | Guy        | C
2230     | c1    | Clamp      | C
2230     | P1    | Pole Deflection | C
2230     | PG11  | Guy        | C
2230     | c1    | Clamp      | C
2230     | P1    | Pole Deflection | C
2230     | P1    | Steel Pole | C
2230     | P1    | Pole Deflection | C
2230     | P1    | Steel Pole | C
2230     | P1    | Pole Deflection | C
2230     | PG11  | Guy        | C
2230     | c1    | Clamp      | C
2230     | P1    | Pole Deflection | C
2230     | PG11  | Guy        | C
2230     | c1    | Clamp      | C
2230     | P1    | Pole Deflection | C
2280     | PG11  | Guy        | C
2280     | c1    | Clamp      | C
2280     | P1    | Pole Deflection | C
2280     | PG11  | Guy        | C
2280     | c1    | Clamp      | C
2280     | P1    | Pole Deflection | C
2280     | PG11  | Guy        | C
2280     | c1    | Clamp      | C
2280     | P1    | Pole Deflection | C
2280     | PG11  | Guy        | C
2280     | c1    | Clamp      | C
2280     | P1    | Pole Deflection | C
2280     | PG11  | Guy        | C
2280     | U1-1B | Strain     | C
2280     | P1    | Pole Deflection | C
2280     | PG11  | Guy        | C
2280     | U1-1B | Strain     | C
2280     | P1    | Pole Deflection | C
2280     | P1    | Steel Pole | C
2280     | c1    | Clamp      | C
2280     | P1    | Pole Deflection | C
2280     | SE21  | Guy        | C
2280     | c1    | Clamp      | C
2280     | P1    | Pole Deflection | C
2270     | P1    | Steel Pole | C
2270     | U1p   | Post       | C
2270     | P1    | Pole Deflection | C
2270     | P1    | Steel Pole | C
2270     | U1p   | Post       | C
2270     | P1    | Pole Deflection | C
2270     | P1    | Steel Pole | C
2270     | U1p   | Post       | C
2270     | P1    | Pole Deflection | C
2270     | P1    | Steel Pole | C
2270     | U1p   | Post       | C
2270     | P1    | Pole Deflection | C
2260     | P1    | Steel Pole | C
2260     | U1p   | Post       | C
2260     | P1    | Pole Deflection | C
2260     | P1    | Steel Pole | C
2260     | U1p   | Post       | C
2260     | P1    | Pole Deflection | C
2260     | P1    | Steel Pole | C
2260     | U1p   | Post       | C
2260     | P1    | Pole Deflection | C
2260     | P1    | Steel Pole | C
2260     | U1p   | Post       | C
2260     | P1    | Pole Deflection | C
2250     | PG11  | Guy        | C
2250     | U1-1B | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | P1    | Steel Pole | C
2250     | U1-1B | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | PG11  | Guy        | C
2250     | U1-1B | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | P1    | Steel Pole | C
2250     | U1-1B | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | P1    | Steel Pole | C
2250     | U1-1A | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | P1    | Steel Pole | C
2250     | U1-1A | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | PG11  | Guy        | C
2250     | U1-1B | Strain     | C
2250     | P1    | Pole Deflection | C
2250     | PG11  | Guy        | C
2250     | U1-1B | Strain     | C
2250     | P1    | Pole Deflection | C
2300     | PG11  | Guy        | C
2300     | U1-1B | Strain     | C
2300     | P1    | Pole Deflection | C
2300     | PG11  | Guy        | C
2300     | U1-1B | Strain     | C
2300     | P1    | Pole Deflection | C
2300     | PG11  | Guy        | C
2300     | U1-1B | Strain     | C
2300     | P1    | Pole Deflection | C
2300     | PG11  | Guy        | C
2300     | U1-1B | Strain     | C
2300     | P1    | Pole Deflection | C
2300     | PG11  | Guy        | C
2300     | U1-1B | Strain     | C
2300     | P1    | Pole Deflection | C
2300     | PG11  | Guy        | C
2300     | U1-1B | Strain     | C
2300     | P1    | Pole Deflection | C
2300     | P1    | Steel Pole | C
2300     | P1    | Pole Deflection | C
2300     | P1    | Steel Pole | C
2300     | P1    | Pole Deflection | C
2290     | PG21  | Guy        | C
2290     | U1-1A | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | PG21  | Guy        | C
2290     | U1-1A | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | PG21  | Guy        | C
2290     | U1-1A | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | PG21  | Guy        | C
2290     | U1-1A | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | PG11  | Guy        | C
2290     | U1-1A | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | PG11  | Guy        | C
2290     | U1-1A | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | NG22  | Guy        | C
2290     | F3-U1-1B | Strain     | C
2290     | P1    | Pole Deflection | C
2290     | PG21  | Guy        | C
2290     | F3-U1-1B | Strain     | C
2290     | P1    | Pole Deflection | C
2285     | SE12  | Guy        | C
2285     | SP    | Clamp      | C
2285     | P1    | Pole Deflection | C
2285     | SE12  | Guy        | C
2285     | SP    | Clamp      | C
2285     | P1    | Pole Deflection | C
2285     | SE12  | Guy        | C
2285     | SP    | Clamp      | C
2285     | P1    | Pole Deflection | C
2285     | SE12  | Guy        | C
2285     | SP    | Clamp      | C
2285     | P1    | Pole Deflection | C
2285     | SE12  | Guy        | C
2285     | SP    | Clamp      | C
2285     | P1    | Pole Deflection | C
2285     | SE12  | Guy        | C
2285     | SP    | Clamp      | C
2285     | P1    | Pole Deflection | C
2285     | P1    | Steel Pole | C
2285     | P1    | Pole Deflection | C
2285     | P1    | Steel Pole | C
2285     | P1    | Pole Deflection | C
2320     | PG11  | Guy        | C
2320     | U2A   | Strain     | C
2320     | P1    | Pole Deflection | C
2320     | PG11  | Guy        | C
2320     | U1A   | Post       | C
2320     | P1    | Pole Deflection | C
2320     | PG11  | Guy        | C
2320     | U2A   | Strain     | C
2320     | P1    | Pole Deflection | C
2320     | PG11  | Guy        | C
2320     | U1A   | Post       | C
2320     | P1    | Pole Deflection | C
2320     | P1    | Steel Pole | C
2320     | U1A   | Post       | C
2320     | P1    | Pole Deflection | C
2320     | P1    | Steel Pole | C
2320     | U1A   | Post       | C
2320     | P1    | Pole Deflection | C
2310     | NG12  | Guy        | C
2310     | U1-1B | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | NG12  | Guy        | C
2310     | U1-1B | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | NG12  | Guy        | C
2310     | U1-1B | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | NG12  | Guy        | C
2310     | U1-1B | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | P1    | Steel Pole | C
2310     | U1-1A | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | P1    | Steel Pole | C
2310     | U1-1A | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | NG12  | Guy        | C
2310     | U1-1B | Strain     | C
2310     | P1    | Pole Deflection | C
2310     | NG12  | Guy        | C
2310     | U1-1B | Strain     | C
2310     | P1    | Pole Deflection | C
2410     | PG11  | Guy        | B
2410     | c1    | Clamp      | B
2410     | P1    | Pole Deflection | B
2410     | PG11  | Guy        | B
2410     | c1    | Clamp      | B
2410     | P1    | Pole Deflection | B
2410     | PG11  | Guy        | B
2410     | c1    | Clamp      | B
2410     | P1    | Pole Deflection | B
2410     | PG11  | Guy        | B
2410     | c1    | Clamp      | B
2410     | P1    | Pole Deflection | B
2410     | P1    | Steel Pole | B
2410     | P1    | Pole Deflection | B
2410     | P1    | Steel Pole | B
2410     | P1    | Pole Deflection | B
2410     | PG11  | Guy        | C
2410     | c1    | Clamp      | C
2410     | P1    | Pole Deflection | C
2410     | PG11  | Guy        | C
2410     | c1    | Clamp      | C
2410     | P1    | Pole Deflection | C
2410     | PG11  | Guy        | C
2410     | c1    | Clamp      | C
2410     | P1    | Pole Deflection | C
2410     | PG11  | Guy        | C
2410     | c1    | Clamp      | C
2410     | P1    | Pole Deflection | C
2410     | PG11  | Guy        | C
2410     | c1    | Clamp      | C
2410     | P1    | Pole Deflection | C
2410     | PG11  | Guy        | C
2410     | c1    | Clamp      | C
2410     | P1    | Pole Deflection | C
2410     | P1    | Steel Pole | C
2410     | P1    | Pole Deflection | C
2410     | P1    | Steel Pole | C
2410     | P1    | Pole Deflection | C
2400     | P1    | Steel Pole | B
2400     | U1p   | Post       | B
2400     | P1    | Pole Deflection | B
2400     | P1    | Steel Pole | B
2400     | U1p   | Post       | B
2400     | P1    | Pole Deflection | B
2400     | P1    | Steel Pole | C
2400     | U1p   | Post       | C
2400     | P1    | Pole Deflection | C
2400     | P1    | Steel Pole | C
2400     | U1p   | Post       | C
2400     | P1    | Pole Deflection | C
2400     | P1    | Steel Pole | C
2400     | U1p   | Post       | C
2400     | P1    | Pole Deflection | C
2400     | P1    | Steel Pole | C
2400     | U1p   | Post       | C
2400     | P1    | Pole Deflection | C
2390     | NG12  | Guy        | B
2390     | C1-c1 | Clamp      | B
2390     | P1    | Pole Deflection | B
2390     | NG12  | Guy        | B
2390     | C1-c1 | Clamp      | B
2390     | P1    | Pole Deflection | B
2390     | P1    | Steel Pole | B
2390     | UN1B  | Post       | B
2390     | P1    | Pole Deflection | B
2390     | P1    | Steel Pole | B
2390     | UN1B  | Post       | B
2390     | P1    | Pole Deflection | B
2390     | NG12  | Guy        | B
2390     | C1-c1 | Clamp      | B
2390     | P1    | Pole Deflection | B
2390     | NG12  | Guy        | B
2390     | C1-c1 | Clamp      | B
2390     | P1    | Pole Deflection | B
2390     | NG12  | Guy        | C
2390     | C1-c1 | Clamp      | C
2390     | P1    | Pole Deflection | C
2390     | NG12  | Guy        | C
2390     | C1-c1 | Clamp      | C
2390     | P1    | Pole Deflection | C
2390     | NG12  | Guy        | C
2390     | C1-c1 | Clamp      | C
2390     | P1    | Pole Deflection | C
2390     | NG12  | Guy        | C
2390     | C1-c1 | Clamp      | C
2390     | P1    | Pole Deflection | C
2390     | P1    | Steel Pole | C
2390     | UN1B  | Post       | C
2390     | P1    | Pole Deflection | C
2390     | P1    | Steel Pole | C
2390     | UN1B  | Post       | C
2390     | P1    | Pole Deflection | C
2390     | NG12  | Guy        | C
2390     | C1-c1 | Clamp      | C
2390     | P1    | Pole Deflection | C
2390     | NG12  | Guy        | C
2390     | C1-c1 | Clamp      | C
2390     | P1    | Pole Deflection | C
2360     | NG12  | Guy        | B
2360     | Co-c1 | Clamp      | B
2360     | P1    | Pole Deflection | B
2360     | P1    | Steel Pole | B
2360     | Co-c1 | Clamp      | B
2360     | P1    | Pole Deflection | B
2360     | NG12  | Guy        | B
2360     | Co-c1 | Clamp      | B
2360     | P1    | Pole Deflection | B
2360     | NG12  | Guy        | B
2360     | Co-c1 | Clamp      | B
2360     | P1    | Pole Deflection | B
2360     | P1    | Steel Pole | B
2360     | Neut Slack | Post       | B
2360     | P1    | Pole Deflection | B
2360     | P1    | Steel Pole | B
2360     | Neut Slack | Post       | B
2360     | P1    | Pole Deflection | B
2360     | NG12  | Guy        | C
2360     | Co-c1 | Clamp      | C
2360     | P1    | Pole Deflection | C
2360     | P1    | Steel Pole | C
2360     | Co-c1 | Clamp      | C
2360     | P1    | Pole Deflection | C
2360     | NG12  | Guy        | C
2360     | Co-c1 | Clamp      | C
2360     | P1    | Pole Deflection | C
2360     | P1    | Steel Pole | C
2360     | Co-c1 | Clamp      | C
2360     | P1    | Pole Deflection | C
2360     | NG12  | Guy        | C
2360     | Co-c1 | Clamp      | C
2360     | P1    | Pole Deflection | C
2360     | NG12  | Guy        | C
2360     | Co-c1 | Clamp      | C
2360     | P1    | Pole Deflection | C
2360     | P1    | Steel Pole | C
2360     | Neut Slack | Post       | C
2360     | P1    | Pole Deflection | C
2360     | P1    | Steel Pole | C
2360     | Neut Slack | Post       | C
2360     | P1    | Pole Deflection | C
2370     | CM11  | Guy        | B
2370     | U1p   | Post       | B
2370     | P1    | Pole Deflection | B
2370     | CM11  | Guy        | B
2370     | U1p   | Post       | B
2370     | P1    | Pole Deflection | B
2370     | CM11  | Guy        | C
2370     | C1-c1 | Clamp      | C
2370     | P1    | Pole Deflection | C
2370     | CM11  | Guy        | C
2370     | C1-c1 | Clamp      | C
2370     | P1    | Pole Deflection | C
2370     | CM11  | Guy        | C
2370     | C1-c1 | Clamp      | C
2370     | P1    | Pole Deflection | C
2370     | CM11  | Guy        | C
2370     | C1-c1 | Clamp      | C
2370     | P1    | Pole Deflection | C
2380     | PG11  | Guy        | C
2380     | U1-1B | Strain     | C
2380     | P1    | Pole Deflection | C
2380     | PG11  | Guy        | C
2380     | U1-1B | Strain     | C
2380     | P1    | Pole Deflection | C
2380     | PG11  | Guy        | C
2380     | U1-1B | Strain     | C
2380     | P1    | Pole Deflection | C
2380     | PG11  | Guy        | C
2380     | U1-1B | Strain     | C
2380     | P1    | Pole Deflection | C
2380     | P1    | Steel Pole | C
2380     | P1    | Pole Deflection | C
2380     | P1    | Steel Pole | C
2380     | P1    | Pole Deflection | C
2380     | PG11  | Guy        | C
2380     | U1-1B | Strain     | C
2380     | P1    | Pole Deflection | C
2380     | PG11  | Guy        | C
2380     | U1-1B | Strain     | C
2380     | P1    | Pole Deflection | C
2430     | PG11  | Guy        | B
2430     | C1-c1 | Clamp      | B
2430     | P1    | Pole Deflection | B
2430     | P1    | Steel Pole | B
2430     | C1-c1 | Clamp      | B
2430     | P1    | Pole Deflection | B
2430     | PG11  | Guy        | B
2430     | C1-c1 | Clamp      | B
2430     | P1    | Pole Deflection | B
2430     | PG11  | Guy        | B
2430     | C1-c1 | Clamp      | B
2430     | P1    | Pole Deflection | B
2430     | P1    | Steel Pole | B
2430     | C2-c1 | Clamp      | B
2430     | P1    | Pole Deflection | B
2430     | P1    | Steel Pole | B
2430     | U1p   | Post       | B
2430     | P1    | Pole Deflection | B
2430     | PG11  | Guy        | C
2430     | C1-c1 | Clamp      | C
2430     | P1    | Pole Deflection | C
2430     | P1    | Steel Pole | C
2430     | C1-c1 | Clamp      | C
2430     | P1    | Pole Deflection | C
2430     | PG11  | Guy        | C
2430     | C1-c1 | Clamp      | C
2430     | P1    | Pole Deflection | C
2430     | P1    | Steel Pole | C
2430     | C1-c1 | Clamp      | C
2430     | P1    | Pole Deflection | C
2430     | PG11  | Guy        | C
2430     | C1-c1 | Clamp      | C
2430     | P1    | Pole Deflection | C
2430     | PG11  | Guy        | C
2430     | C1-c1 | Clamp      | C
2430     | P1    | Pole Deflection | C
2430     | P1    | Steel Pole | C
2430     | U1p   | Post       | C
2430     | P1    | Pole Deflection | C
2430     | P1    | Steel Pole | C
2430     | U1p   | Post       | C
2430     | P1    | Pole Deflection | C
2440     | PG11  | Guy        | B
2440     | c1    | Clamp      | B
2440     | P1    | Pole Deflection | B
2440     | PG11  | Guy        | B
2440     | c1    | Clamp      | B
2440     | P1    | Pole Deflection | B
2440     | PG11  | Guy        | B
2440     | U1-1A | Strain     | B
2440     | P1    | Pole Deflection | B
2440     | PG11  | Guy        | B
2440     | U1-1A | Strain     | B
2440     | P1    | Pole Deflection | B
2440     | PG21  | Guy        | B
2440     | c1    | Clamp      | B
2440     | P1    | Pole Deflection | B
2440     | PG21  | Guy        | B
2440     | c1    | Clamp      | B
2440     | P1    | Pole Deflection | B
2440     | PG11  | Guy        | C
2440     | c1    | Clamp      | C
2440     | P1    | Pole Deflection | C
2440     | PG11  | Guy        | C
2440     | c1    | Clamp      | C
2440     | P1    | Pole Deflection | C
2440     | PG11  | Guy        | C
2440     | c1    | Clamp      | C
2440     | P1    | Pole Deflection | C
2440     | PG11  | Guy        | C
2440     | c1    | Clamp      | C
2440     | P1    | Pole Deflection | C
2440     | PG11  | Guy        | C
2440     | U1-1A | Strain     | C
2440     | P1    | Pole Deflection | C
2440     | PG11  | Guy        | C
2440     | U1-1A | Strain     | C
2440     | P1    | Pole Deflection | C
2440     | PG21  | Guy        | C
2440     | c1    | Clamp      | C
2440     | P1    | Pole Deflection | C
2440     | PG21  | Guy        | C
2440     | c1    | Clamp      | C
2440     | P1    | Pole Deflection | C
2450     | PG11  | Guy        | C
2450     | U1-1B | Strain     | C
2450     | P1    | Pole Deflection | C
2450     | PG11  | Guy        | C
2450     | U1-1B | Strain     | C
2450     | P1    | Pole Deflection | C
2450     | PG11  | Guy        | C
2450     | U1-1B | Strain     | C
2450     | P1    | Pole Deflection | C
2450     | PG11  | Guy        | C
2450     | U1-1B | Strain     | C
2450     | P1    | Pole Deflection | C
2450     | P1    | Steel Pole | C
2450     | U1p   | Post       | C
2450     | P1    | Pole Deflection | C
2450     | P1    | Steel Pole | C
2450     | U1p   | Post       | C
2450     | P1    | Pole Deflection | C
2450     | PG11  | Guy        | C
2450     | U1-1B | Strain     | C
2450     | P1    | Pole Deflection | C
2450     | PG11  | Guy        | C
2450     | U1-1B | Strain     | C
2450     | P1    | Pole Deflection | C
2530     | PG11  | Guy        | B
2530     | c1    | Clamp      | B
2530     | P1    | Pole Deflection | B
2530     | PG11  | Guy        | B
2530     | c1    | Clamp      | B
2530     | P1    | Pole Deflection | B
2530     | PG11  | Guy        | C
2530     | c1    | Clamp      | C
2530     | P1    | Pole Deflection | C
2530     | PG11  | Guy        | C
2530     | c1    | Clamp      | C
2530     | P1    | Pole Deflection | C
2530     | PG11  | Guy        | C
2530     | c1    | Clamp      | C
2530     | P1    | Pole Deflection | C
2530     | PG11  | Guy        | C
2530     | c1    | Clamp      | C
2530     | P1    | Pole Deflection | C
2520     | P1    | Steel Pole | B
2520     | U1p   | Post       | B
2520     | P1    | Pole Deflection | B
2520     | P1    | Steel Pole | B
2520     | U1p   | Post       | B
2520     | P1    | Pole Deflection | B
2520     | P1    | Steel Pole | C
2520     | U1p   | Post       | C
2520     | P1    | Pole Deflection | C
2520     | P1    | Steel Pole | C
2520     | U1p   | Post       | C
2520     | P1    | Pole Deflection | C
2520     | P1    | Steel Pole | C
2520     | U1p   | Post       | C
2520     | P1    | Pole Deflection | C
2520     | P1    | Steel Pole | C
2520     | U1p   | Post       | C
2520     | P1    | Pole Deflection | C
2510     | P1    | Steel Pole | B
2510     | U1p   | Post       | B
2510     | P1    | Pole Deflection | B
2510     | P1    | Steel Pole | B
2510     | U1p   | Post       | B
2510     | P1    | Pole Deflection | B
2510     | P1    | Steel Pole | C
2510     | U1p   | Post       | C
2510     | P1    | Pole Deflection | C
2510     | P1    | Steel Pole | C
2510     | U1p   | Post       | C
2510     | P1    | Pole Deflection | C
2510     | P1    | Steel Pole | C
2510     | U1p   | Post       | C
2510     | P1    | Pole Deflection | C
2510     | P1    | Steel Pole | C
2510     | U1p   | Post       | C
2510     | P1    | Pole Deflection | C
2490     | P1    | Steel Pole | B
2490     | U1A   | Post       | B
2490     | P1    | Pole Deflection | B
2490     | CM11  | Guy        | B
2490     | U1A   | Post       | B
2490     | P1    | Pole Deflection | B
2490     | P1    | Steel Pole | C
2490     | U1A   | Post       | C
2490     | P1    | Pole Deflection | C
2490     | CM11  | Guy        | C
2490     | U1A   | Post       | C
2490     | P1    | Pole Deflection | C
2490     | P1    | Steel Pole | C
2490     | U1A   | Post       | C
2490     | P1    | Pole Deflection | C
2490     | CM11  | Guy        | C
2490     | U1A   | Post       | C
2490     | P1    | Pole Deflection | C
2480     | CM12  | Guy        | B
2480     | U1p   | Post       | B
2480     | P1    | Pole Deflection | B
2480     | P1    | Steel Pole | B
2480     | U1p   | Post       | B
2480     | P1    | Pole Deflection | B
2480     | CM12  | Guy        | C
2480     | U1p   | Post       | C
2480     | P1    | Pole Deflection | C
2480     | P1    | Steel Pole | C
2480     | UN1   | Post       | C
2480     | P1    | Pole Deflection | C
2480     | CM12  | Guy        | C
2480     | U1p   | Post       | C
2480     | P1    | Pole Deflection | C
2480     | P1    | Steel Pole | C
2480     | U1p   | Post       | C
2480     | P1    | Pole Deflection | C
2540     | PG11  | Guy        | B
2540     | U1-1A | Strain     | B
2540     | P1    | Pole Deflection | B
2540     | PG11  | Guy        | B
2540     | U1-1A | Strain     | B
2540     | P1    | Pole Deflection | B
2540     | PG11  | Guy        | B
2540     | U1-1A | Strain     | B
2540     | P1    | Pole Deflection | B
2540     | PG11  | Guy        | B
2540     | U1-1A | Strain     | B
2540     | P1    | Pole Deflection | B
2540     | P1    | Steel Pole | B
2540     | UN1A  | Post       | B
2540     | P1    | Pole Deflection | B
2540     | P1    | Steel Pole | B
2540     | UN1A  | Post       | B
2540     | P1    | Pole Deflection | B
2540     | PG11  | Guy        | C
2540     | U1-1A | Strain     | C
2540     | P1    | Pole Deflection | C
2540     | PG11  | Guy        | C
2540     | U1-1A | Strain     | C
2540     | P1    | Pole Deflection | C
2540     | PG11  | Guy        | C
2540     | U1-1A | Strain     | C
2540     | P1    | Pole Deflection | C
2540     | PG11  | Guy        | C
2540     | U1-1A | Strain     | C
2540     | P1    | Pole Deflection | C
2540     | PG11  | Guy        | C
2540     | U1-1A | Strain     | C
2540     | P1    | Pole Deflection | C
2540     | PG11  | Guy        | C
2540     | U1-1A | Strain     | C
2540     | P1    | Pole Deflection | C
2540     | P1    | Steel Pole | C
2540     | UN1A  | Post       | C
2540     | P1    | Pole Deflection | C
2540     | P1    | Steel Pole | C
2540     | UN1A  | Post       | C
2540     | P1    | Pole Deflection | C
2550     | P1    | Steel Pole | C
2550     | U1p   | Post       | C
2550     | P1    | Pole Deflection | C
2550     | P1    | Steel Pole | C
2550     | U1p   | Post       | C
2550     | P1    | Pole Deflection | C
2550     | P1    | Steel Pole | C
2550     | U1p   | Post       | C
2550     | P1    | Pole Deflection | C
2550     | P1    | Steel Pole | C
2550     | U1p   | Post       | C
2550     | P1    | Pole Deflection | C
2560     | P1    | Steel Pole | C
2560     | U1p   | Post       | C
2560     | P1    | Pole Deflection | C
2560     | P1    | Steel Pole | C
2560     | U1p   | Post       | C
2560     | P1    | Pole Deflection | C
2560     | P1    | Steel Pole | C
2560     | U1p   | Post       | C
2560     | P1    | Pole Deflection | C
2560     | P1    | Steel Pole | C
2560     | U1p   | Post       | C
2560     | P1    | Pole Deflection | C
2570     | P1    | Steel Pole | C
2570     | U1p   | Post       | C
2570     | P1    | Pole Deflection | C
2570     | P1    | Steel Pole | C
2570     | U1p   | Post       | C
2570     | P1    | Pole Deflection | C
2570     | P1    | Steel Pole | C
2570     | U1p   | Post       | C
2570     | P1    | Pole Deflection | C
2570     | P1    | Steel Pole | C
2570     | U1p   | Post       | C
2570     | P1    | Pole Deflection | C
2580     | P1    | Steel Pole | C
2580     | U1A   | Post       | C
2580     | P1    | Pole Deflection | C
2580     | P1    | Steel Pole | C
2580     | U1A   | Post       | C
2580     | P1    | Pole Deflection | C
2580     | P1    | Steel Pole | C
2580     | U1A   | Post       | C
2580     | P1    | Pole Deflection | C
2580     | P1    | Steel Pole | C
2580     | U1A   | Post       | C
2580     | P1    | Pole Deflection | C
2610     | P1    | Steel Pole | C
2610     | U1p   | Post       | C
2610     | P1    | Pole Deflection | C
2610     | P1    | Steel Pole | C
2610     | U1p   | Post       | C
2610     | P1    | Pole Deflection | C
2610     | P1    | Steel Pole | C
2610     | U1p   | Post       | C
2610     | P1    | Pole Deflection | C
2610     | P1    | Steel Pole | C
2610     | U1p   | Post       | C
2610     | P1    | Pole Deflection | C
2630     | NG12  | Guy        | C
2630     | U1-1B | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | NG12  | Guy        | C
2630     | U1-1B | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | NG12  | Guy        | C
2630     | U1-1B | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | NG12  | Guy        | C
2630     | U1-1B | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | PG21  | Guy        | C
2630     | U1-1A | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | PG21  | Guy        | C
2630     | U1-1A | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | NG12  | Guy        | C
2630     | U1-1B | Strain     | C
2630     | P1    | Pole Deflection | C
2630     | NG12  | Guy        | C
2630     | U1-1B | Strain     | C
2630     | P1    | Pole Deflection | C
2640     | P1    | Steel Pole | C
2640     | S1-SP | Clamp      | C
2640     | P1    | Pole Deflection | C
2640     | P1    | Steel Pole | C
2640     | S1-SP | Clamp      | C
2640     | P1    | Pole Deflection | C
2640     | P1    | Steel Pole | C
2640     | SP    | Clamp      | C
2640     | P1    | Pole Deflection | C
2640     | P1    | Steel Pole | C
2640     | SP    | Clamp      | C
2640     | P1    | Pole Deflection | C
2640     | P1    | Steel Pole | C
2640     | S1-SP | Clamp      | C
2640     | P1    | Pole Deflection | C
2640     | P1    | Steel Pole | C
2640     | S1-SP | Clamp      | C
2640     | P1    | Pole Deflection | C
2660     | PG11  | Guy        | C
2660     | U1-1B | Strain     | C
2660     | P1    | Pole Deflection | C
2660     | PG11  | Guy        | C
2660     | U1-1B | Strain     | C
